Stock/None,,
Dodge Charger Super Bee 426 Hemi '71 ,0019,10A1F8D8 00000019 ,10A1F8DC 0000001C
Dodge RAM 1500 LARAMIE Hemi Quad Cab '04 ,001A,10A1F8D8 0000001A ,10A1F8DC 0000001C
Dodge VIPER GTS '99 ,001B,10A1F8D8 0000001B ,10A1F8DC 0000001C
Dodge VIPER GTSR Concept '00 ,001C,10A1F8D8 0000001C ,10A1F8DC 0000001C
Dodge VIPER SRT10 '03 ,001D,10A1F8D8 0000001D ,10A1F8DC 0000001C
Ford Mustang GT '05 ,001E,10A1F8D8 0000001E ,10A1F8DC 0000001C
Ford MUSTANG SVT Cobra R '00 ,001F,10A1F8D8 0000001F ,10A1F8DC 0000001C
FPV GT '04 ,0020,10A1F8D8 00000020 ,10A1F8DC 0000001C
Holden Commodore SS '04 ,0021,10A1F8D8 00000021 ,10A1F8DC 0000001C
Infiniti FX45 Concept '02 ,0022,10A1F8D8 00000022 ,10A1F8DC 0000001C
Jensen Interceptor MkIII '74 ,0023,10A1F8D8 00000023 ,10A1F8DC 0000001C
Lexus SC430 '01 ,0070,10A1F8D8 00000070 ,10A1F8DC 0000001C
Mazda MX-5 (NA) '89 ,005B,10A1F8D8 0000005B ,10A1F8DC 0000001C
Mazda MX-5 1.8 RS (NB, J) '98 ,0069,10A1F8D8 00000069 ,10A1F8DC 0000001C
Mazda MX-5 1600 NR-A (NB, J) '04 ,006F,10A1F8D8 0000006F ,10A1F8DC 0000001C
Mazda MX-5 1800 RS (NB, J) '00 ,006B,10A1F8D8 0000006B ,10A1F8DC 0000001C
Mazda MX-5 1800 RS (NB, J) '04 ,006D,10A1F8D8 0000006D ,10A1F8DC 0000001C
Mazda MX-5 J-Limited (NA, J) '91 ,005D,10A1F8D8 0000005D ,10A1F8DC 0000001C
Mazda MX-5 J-Limited II (NA, J) '93 ,0061,10A1F8D8 00000061 ,10A1F8DC 0000001C
Mazda MX-5 SR-Limited (NA, J) '97 ,0067,10A1F8D8 00000067 ,10A1F8DC 0000001C
Mazda MX-5 S-Special Type I (NA, J) '95 ,0063,10A1F8D8 00000063 ,10A1F8DC 0000001C
Mazda MX-5 VR-Limited (NA, J) '95 ,0065,10A1F8D8 00000065 ,10A1F8DC 0000001C
Mazda MX-5 V-Special Type II (NA, J) '93 ,005F,10A1F8D8 0000005F ,10A1F8DC 0000001C
Mazda RX-8 '03 ,002F,10A1F8D8 0000002F ,10A1F8DC 0000001C
Mazda RX-8 Type E (J) '03 ,0030,10A1F8D8 00000030 ,10A1F8DC 0000001C
Mazda RX-8 Type S (J) '03 ,0031,10A1F8D8 00000031 ,10A1F8DC 0000001C
Mercury Cougar XR-7 '67 ,0032,10A1F8D8 00000032 ,10A1F8DC 0000001C
Mitsubishi Eclipse GT '06 ,0082,10A1F8D8 00000082 ,10A1F8DC 0000001C
NISMO Fairlady Z S-tune concept by GRANTURISMO (Z33) '02 ,0035,10A1F8D8 00000035 ,10A1F8DC 0000001C
Nissan 350Z (Z33) '03 ,007D,10A1F8D8 0000007D ,10A1F8DC 0000001C
Nissan 350Z Roadster (Z33) '03 ,007F,10A1F8D8 0000007F ,10A1F8DC 0000001C
Nissan CUBE EX (FF/CVT) '02 ,0033,10A1F8D8 00000033 ,10A1F8DC 0000001C
Nissan CUBE X '98 ,0034,10A1F8D8 00000034 ,10A1F8DC 0000001C
Nissan Fairlady Z Version ST (Z33) Option Wheel '02 ,0038,10A1F8D8 00000038 ,10A1F8DC 0000001C
Nissan March G# '99 ,003B,10A1F8D8 0000003B ,10A1F8DC 0000001C
Nissan MICRA '03 ,007B,10A1F8D8 0000007B ,10A1F8DC 0000001C
Peugeot 905 Race Car '92 ,0059,10A1F8D8 00000059 ,10A1F8DC 0000001C
Plymouth Cuda 440 Six Pack '71 ,003C,10A1F8D8 0000003C ,10A1F8DC 0000001C
Plymouth Super Bird '70 ,003D,10A1F8D8 0000003D ,10A1F8DC 0000001C
Pontiac GTO 5.7 Coupe '04 ,003E,10A1F8D8 0000003E ,10A1F8DC 0000001C
Pontiac Tempest Le Mans GTO '64 ,003F,10A1F8D8 0000003F ,10A1F8DC 0000001C
Proto Motors SPIRRA 4.6 V8 '04 ,0081,10A1F8D8 00000081 ,10A1F8DC 0000001C
Saleen S7 '02 ,0040,10A1F8D8 00000040 ,10A1F8DC 0000001C
Shelby Cobra 427 '67 ,0041,10A1F8D8 00000041 ,10A1F8DC 0000001C
Shelby Mustang G.T. 350R '65 ,0042,10A1F8D8 00000042 ,10A1F8DC 0000001C
Toyota bB 1.5Z X Version '00 ,0043,10A1F8D8 00000043 ,10A1F8DC 0000001C
Toyota CELICA 2000GT-R (ST162) '86 ,0044,10A1F8D8 00000044 ,10A1F8DC 0000001C
Toyota CELICA GT-R (ST183, 4WS) '91 ,0045,10A1F8D8 00000045 ,10A1F8DC 0000001C
Toyota CELICA SS-II (ST202) '97 ,0046,10A1F8D8 00000046 ,10A1F8DC 0000001C
Toyota CELICA SS-II (ZZT231) '99 ,0047,10A1F8D8 00000047 ,10A1F8DC 0000001C
Toyota COROLLA LEVIN BZ-R '98 ,0048,10A1F8D8 00000048 ,10A1F8DC 0000001C
Toyota COROLLA LEVIN GT-APEX (AE86) '83 ,0049,10A1F8D8 00000049 ,10A1F8DC 0000001C
Toyota COROLLA RUNX Z AEROTOURER '02 ,004A,10A1F8D8 0000004A ,10A1F8DC 0000001C
Toyota ist 1.5S '02 ,004B,10A1F8D8 0000004B ,10A1F8DC 0000001C
Toyota MR2 G-Limited '97 ,004C,10A1F8D8 0000004C ,10A1F8DC 0000001C
Toyota MR2 S Edition (J) '99 ,0072,10A1F8D8 00000072 ,10A1F8DC 0000001C
Toyota MR2 V Edition (J) '02 ,0074,10A1F8D8 00000074 ,10A1F8DC 0000001C
Toyota RSC '01 ,004F,10A1F8D8 0000004F ,10A1F8DC 0000001C
Toyota SPRINTER TRUENO BZ-R '98 ,0051,10A1F8D8 00000051 ,10A1F8DC 0000001C
Toyota SPRINTER TRUENO GT-APEX (AE86) '83 ,0052,10A1F8D8 00000052 ,10A1F8DC 0000001C
Toyota Tacoma X-Runner '04 ,0053,10A1F8D8 00000053 ,10A1F8DC 0000001C
Toyota Yaris F (J) '99 ,0079,10A1F8D8 00000079 ,10A1F8DC 0000001C
Toyota Yaris RS 1.5 (J) '00 ,007A,10A1F8D8 0000007A ,10A1F8DC 0000001C
Toyota Yaris U Euro Sport Edition (J) '00 ,0078,10A1F8D8 00000078 ,10A1F8DC 0000001C
TVR Cerbera Speed 12 '00 ,0057,10A1F8D8 00000057 ,10A1F8DC 0000001C
VW New Beetle 2.0 '00 ,0058,10A1F8D8 00000058 ,10A1F8DC 0000001C
